item_cond,list,item,condition,numeral,same_different,num_char,CL1tone,CL1,N1,CL2tone,CL2,N2,phrase,audio,position1,position1N,position2,position2N,target_position
1a,1,1,a,yi,same,一,1,张,邮票,3,把,圆规,一张邮票,01_ab_1.wav,030_youpiao2.jpg,邮票,109_yuangui.jpg,圆规,1
2c,1,2,c,liang,different,两,2,头,蒜,3,口,锅,两头蒜,02_ab_2.wav,060_suan2_liang.jpg,蒜,063_guo2_liang.jpg,锅,1
3d,1,3,d,liang,same,两,1,家,餐厅,4,座,桥,两家餐厅,03_ab_2.wav,066_qiao_liang.jpg,桥,005_canting_liang.jpg,餐厅,2
4b,1,4,b,yi,different,一,2,盘,磁带,4,架,钢琴,一盘磁带,04_ab_1.wav,088_gangqin.jpg,钢琴,ex02_cidai.jpg,磁带,2
5b,1,5,b,yi,different,一,1,根,黄瓜,4,串,葡萄,一根黄瓜,05_ab_1.wav,009_huanggua.jpg,黄瓜,081_putao.jpg,葡萄,1
6b,1,6,b,yi,different,一,2,头,大象,4,座,房子,一头大象,06_ab_1.wav,048_daxiang.jpg,大象,115_fangzi.jpg,房子,1
7a,1,7,a,yi,same,一,1,艘,船,3,把,镰刀,一艘船,07_ab_1.wav,116_liandao.jpg,镰刀,033_chuan.jpg,船,2
8a,1,8,a,yi,same,一,2,台,电风扇,3,把,扇子,一台电风扇,08_ab_1.wav,114_shanzi.jpg,扇子,046_dianshan.jpg,电风扇,2
9a,1,9,a,yi,same,一,1,张,床,3,盏,吊灯,一张床,09_ab_1.wav,031_chuang.jpg,床,071_diaodeng.jpg,吊灯,1
10c,1,10,c,liang,different,两,2,台,电脑,3,把,吉他,两台电脑,10_ab_2.wav,018_diannao_liang.jpg,电脑,ex04_jita_liang.jpg,吉他,1
11d,1,11,d,liang,same,两,1,只,蝴蝶,4,片,叶子,两只蝴蝶,11_ab_2.wav,087_shuye_liang.jpg,叶子,007_hudie_liang.jpg,蝴蝶,2
12c,1,12,c,liang,different,两,2,台,电视,3,卷,胶片,两台电视,12_ab_2.wav,104_jiaopian_liang.jpg,胶片,002_dianshi_liang.jpg,电视,2
